--- System Monitoring --- | Time: 2025-09-28 22:59:31 | CPU Usage: 6.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:32 | CPU Usage: 8.2% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:32 | CPU Usage: 9.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:33 | CPU Usage: 7.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.43 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:34 | CPU Usage: 7.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.43 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:34 | CPU Usage: 3.2% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.43 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:35 | CPU Usage: 3.4% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.43 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:35 | CPU Usage: 9.5% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.44 MB | Received: 12183.10 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:36 | CPU Usage: 37.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.44 MB | Received: 12183.11 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:36 | CPU Usage: 50.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.45 MB | Received: 12183.11 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:37 | CPU Usage: 27.1% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.45 MB | Received: 12183.11 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:37 | CPU Usage: 17.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.45 MB | Received: 12183.11 MB | FPS: 2 | Temperature: N/A | Swap Usage: 23.1%
